month,lead_time_mean,efetividade_media,perda_total_m3,perda_prem_m3,perda_prem_R,pct_refugo_prem,n_reg
2024-05-01,7.1,1.35,48.95,0.0,0,0.0,98
2024-06-01,7.4,1.17,142.9,0.0,0,0.0,143
2024-07-01,12.82,1.09,211.58,0.0,0,0.0,159
2024-08-01,11.2,1.11,204.57,0.0,0,0.0,152
2024-09-01,13.72,1.14,211.96,0.0,0,0.0,103
2024-10-01,17.72,1.13,738.14,0.0,0,0.0,142
2024-11-01,14.87,1.1,584.72,0.0,0,0.0,119
2024-12-01,16.24,1.12,1268.7,0.0,0,0.0,130
2025-01-01,17.85,1.16,541.47,0.0,0,0.0,96
2025-02-01,9.5,1.14,87.45,8.07,12551,9.23,72
2025-03-01,9.35,1.17,105.01,87.69,164535,83.52,103
2025-04-01,13.66,1.19,171.4,106.42,107965,62.03,144
2025-05-01,14.93,1.16,224.31,128.46,145600,57.28,170
2025-06-01,16.06,1.19,248.16,132.27,57782,53.29,108
2025-07-01,12.37,1.11,183.44,111.25,84909,60.62,83
2025-08-01,18.21,1.17,220.55,85.27,50670,36.72,73
2025-09-01,13.82,1.12,223.45,100.2,109314,44.85,79
2025-10-01,12.79,1.21,133.76,55.95,47520,41.72,34
